,id_str,created_at,text_tweet,text_concept,truncated,retweet_count,type,in_reply_to_status_id_str,in_reply_to_user_id_str
89,1207307027799793667,Wed Dec 18 14:30:00 +0000 2019,"Fire is an apt representation of the suppression of female #sexuality and the denial of a woman’s agency in a patriarchal society, in addition to being one of the first #Bollywood films to explore the theme of #homosexuality .

#FIIReviews

https://t.co/Q56wuv7kW9",homosexuality,True,1,hashtag,,
90,1207307027799793667,Wed Dec 18 14:30:00 +0000 2019,"Fire is an apt representation of the suppression of female #sexuality and the denial of a woman’s agency in a patriarchal society, in addition to being one of the first #Bollywood films to explore the theme of #homosexuality .

#FIIReviews

https://t.co/Q56wuv7kW9",fiireviews,True,1,hashtag,,
91,1207291927244107776,Wed Dec 18 13:30:00 +0000 2019,"On Saturday, #DelhiPolice entered #JamiaMilliaIslamia University and violently used their arms at the students and the university staff.

@The_Silly_Wonka questions: Who turned the #protest violent?

https://t.co/AAitlcLdT7",delhipolice,True,3,hashtag,,
92,1207291927244107776,Wed Dec 18 13:30:00 +0000 2019,"On Saturday, #DelhiPolice entered #JamiaMilliaIslamia University and violently used their arms at the students and the university staff.

@The_Silly_Wonka questions: Who turned the #protest violent?

https://t.co/AAitlcLdT7",jamiamilliaislamia,True,3,hashtag,,
93,1207291927244107776,Wed Dec 18 13:30:00 +0000 2019,"On Saturday, #DelhiPolice entered #JamiaMilliaIslamia University and violently used their arms at the students and the university staff.

@The_Silly_Wonka questions: Who turned the #protest violent?

https://t.co/AAitlcLdT7",protest,True,3,hashtag,,
94,1207286686847127552,Wed Dec 18 13:09:11 +0000 2019,RSVP: https://t.co/x8UIv1ntR8,,False,1,,1.2072866841460285e+18,2247560024.0
95,1207286684146028545,Wed Dec 18 13:09:10 +0000 2019,"In light of the passing of the #CitizenshipAmendmentAct and the violence against the protestors, FII has decided to replace the Feminist Potluck Picnic with a feminist solidarity meet to discuss how we can collectively amplify dissenting voices and share learnings. https://t.co/RxWbw8ENLp",citizenshipamendmentact,True,27,hashtag,,
96,1207281932137971712,Wed Dec 18 12:50:17 +0000 2019,"RT @harsh_mander: Spent a harrowing day in AMU on 17th. The police violence there surpasses Jamia, worse than what I have seen in any campu…",,False,0,,,
97,1207263000610168833,Wed Dec 18 11:35:03 +0000 2019,"Regardless of their legal status, women and their families must have the right to public services, such as health, education and childcare. 
#WomensProgress2019 #MigrantsDay https://t.co/ZDk0T6elta",womensprogress2019,True,139,hashtag,,
98,1207263000610168833,Wed Dec 18 11:35:03 +0000 2019,"Regardless of their legal status, women and their families must have the right to public services, such as health, education and childcare. 
#WomensProgress2019 #MigrantsDay https://t.co/ZDk0T6elta",migrantsday,True,139,hashtag,,
99,1207261726988619778,Wed Dec 18 11:30:00 +0000 2019,"When students are bullied to the extent that they commit suicide, the question that remains is “Whose campus is it anyway”?

#EducationForAll 

https://t.co/pe0EWLcRxY",educationforall,True,4,hashtag,,
100,1207254179841839104,Wed Dec 18 11:00:00 +0000 2019,"#BreastShaming is one of the most common abuses that exist in urban space, and it needs to STOP.

@Astha25646794 highlights the various forms of breast shaming.

#BodyShaming 

https://t.co/o28T8mwokM",breastshaming,True,1,hashtag,,
101,1207254179841839104,Wed Dec 18 11:00:00 +0000 2019,"#BreastShaming is one of the most common abuses that exist in urban space, and it needs to STOP.

@Astha25646794 highlights the various forms of breast shaming.

#BodyShaming 

https://t.co/o28T8mwokM",bodyshaming,True,1,hashtag,,
